timestamp,equipment_id,runtime_hours,temperature_c,vibration_mm_s,simulated_condition
2026-09-01 16:20:00,Tractor_01,128.33,76.16,2.65,NORMAL
2026-09-01 16:30:00,Tractor_01,128.5,77.53,2.72,NORMAL
2026-09-01 16:40:00,Tractor_01,128.67,69.17,2.62,NORMAL
2026-09-01 16:50:00,Tractor_01,128.83,73.72,3.31,NORMAL
2026-09-01 17:00:00,Tractor_01,129.0,73.12,2.47,NORMAL
2026-09-01 17:10:00,Tractor_01,129.17,72.44,2.38,NORMAL
2026-09-01 17:20:00,Tractor_01,129.33,73.9,2.2,NORMAL
2026-09-01 17:30:00,Tractor_01,129.5,80.98,2.09,NORMAL
2026-09-01 17:40:00,Tractor_01,129.67,71.54,2.0,NORMAL
2026-09-01 17:50:00,Tractor_01,129.83,78.87,2.14,NORMAL
2026-09-01 18:00:00,Tractor_01,130.0,68.27,2.47,NORMAL
2026-09-01 18:10:00,Tractor_01,130.17,96.66,5.63,MAINTENANCE NEEDED
2026-09-01 18:20:00,Tractor_01,130.33,75.65,2.52,NORMAL
2026-09-01 18:30:00,Tractor_01,130.5,77.34,2.19,NORMAL
2026-09-01 18:40:00,Tractor_01,130.67,100.84,5.86,MAINTENANCE NEEDED
2026-09-01 18:50:00,Tractor_01,130.83,78.17,2.8,NORMAL
2026-09-01 19:00:00,Tractor_01,131.0,73.61,2.44,NORMAL
2026-09-01 19:10:00,Tractor_01,131.17,73.15,2.24,NORMAL
2026-09-01 19:20:00,Tractor_01,131.33,78.43,2.72,NORMAL
2026-09-01 19:30:00,Tractor_01,131.5,74.23,2.58,NORMAL
2026-09-01 19:40:00,Tractor_01,131.67,69.9,1.92,NORMAL
2026-09-01 19:50:00,Tractor_01,131.83,70.47,2.47,NORMAL
2026-09-01 20:00:00,Tractor_01,132.0,71.32,2.6,NORMAL
2026-09-01 20:10:00,Tractor_01,132.17,76.99,2.14,NORMAL
2026-09-01 20:20:00,Tractor_01,132.33,75.57,2.58,NORMAL
2026-09-01 20:30:00,Tractor_01,132.5,77.76,1.92,NORMAL
2026-09-01 20:40:00,Tractor_01,132.67,73.29,3.03,NORMAL
2026-09-01 20:50:00,Tractor_01,132.83,75.63,3.0,NORMAL
2026-09-01 21:00:00,Tractor_01,133.0,77.5,2.4,NORMAL
2026-09-01 21:10:00,Tractor_01,133.17,73.76,2.65,NORMAL
2026-09-01 21:20:00,Tractor_01,133.33,76.83,1.54,NORMAL
2026-09-01 21:30:00,Tractor_01,133.5,72.35,2.04,NORMAL
2026-09-01 21:40:00,Tractor_01,133.67,73.55,2.38,NORMAL
2026-09-01 21:50:00,Tractor_01,133.83,73.47,2.07,NORMAL
2026-09-01 22:00:00,Tractor_01,134.0,70.22,2.79,NORMAL
2026-09-01 22:10:00,Tractor_01,134.17,76.95,3.3,NORMAL
2026-09-01 22:20:00,Tractor_01,134.33,73.12,2.03,NORMAL
2026-09-01 22:30:00,Tractor_01,134.5,75.05,2.17,NORMAL
2026-09-01 22:40:00,Tractor_01,134.67,76.92,2.59,NORMAL
2026-09-01 22:50:00,Tractor_01,134.83,76.79,3.14,NORMAL
2026-09-01 23:00:00,Tractor_01,135.0,77.66,2.01,NORMAL
2026-09-01 23:10:00,Tractor_01,135.17,97.61,5.6,MAINTENANCE NEEDED
2026-09-01 23:20:00,Tractor_01,135.33,73.31,3.23,NORMAL
2026-09-01 23:30:00,Tractor_01,135.5,74.68,1.84,NORMAL
2026-09-01 23:40:00,Tractor_01,135.67,68.25,1.99,NORMAL
2026-09-01 23:50:00,Tractor_01,135.83,69.21,2.33,NORMAL
2026-09-02 00:00:00,Tractor_01,136.0,79.71,3.49,CHECK SOON
2026-09-02 00:10:00,Tractor_01,136.17,71.01,2.83,NORMAL
2026-09-02 00:20:00,Tractor_01,136.33,76.6,2.6,NORMAL
2026-09-02 00:30:00,Tractor_01,136.5,71.38,1.79,NORMAL
2026-09-02 00:40:00,Tractor_01,136.67,73.49,2.71,NORMAL
2026-09-02 00:50:00,Tractor_01,136.83,80.2,2.27,NORMAL
2026-09-02 01:00:00,Tractor_01,137.0,73.57,3.01,NORMAL
2026-09-02 01:10:00,Tractor_01,137.17,77.95,2.25,NORMAL
2026-09-02 01:20:00,Tractor_01,137.33,71.27,2.25,NORMAL
2026-09-02 01:30:00,Tractor_01,137.5,74.18,2.72,NORMAL
2026-09-02 01:40:00,Tractor_01,137.67,71.2,2.81,NORMAL
2026-09-02 01:50:00,Tractor_01,137.83,73.64,2.68,NORMAL
2026-09-02 02:00:00,Tractor_01,138.0,78.36,1.83,NORMAL
2026-09-02 02:10:00,Tractor_01,138.17,68.09,2.72,NORMAL
2026-09-02 02:20:00,Tractor_01,138.33,76.74,2.09,NORMAL
2026-09-02 02:30:00,Tractor_01,138.5,75.95,2.59,NORMAL
2026-09-02 02:40:00,Tractor_01,138.67,72.62,1.93,NORMAL
2026-09-02 02:50:00,Tractor_01,138.83,69.22,2.68,NORMAL
2026-09-02 03:00:00,Tractor_01,139.0,75.29,2.18,NORMAL
2026-09-02 03:10:00,Tractor_01,139.17,72.88,1.99,NORMAL
2026-09-02 03:20:00,Tractor_01,139.33,75.93,2.79,NORMAL
2026-09-02 03:30:00,Tractor_01,139.5,75.09,2.6,NORMAL
2026-09-02 03:40:00,Tractor_01,139.67,81.41,2.25,NORMAL
2026-09-02 03:50:00,Tractor_01,139.83,74.04,3.08,NORMAL
2026-09-02 04:00:00,Tractor_01,140.0,70.91,2.32,NORMAL
2026-09-02 04:10:00,Tractor_01,140.17,75.72,2.51,NORMAL
2026-09-02 04:20:00,Tractor_01,140.33,85.88,3.81,CHECK SOON
2026-09-02 04:30:00,Tractor_01,140.5,80.44,2.25,NORMAL
2026-09-02 04:40:00,Tractor_01,140.67,78.34,2.69,NORMAL
2026-09-02 04:50:00,Tractor_01,140.83,76.43,2.29,NORMAL
2026-09-02 05:00:00,Tractor_01,141.0,103.85,5.34,MAINTENANCE NEEDED
2026-09-02 05:10:00,Tractor_01,141.17,70.24,3.05,NORMAL
2026-09-02 05:20:00,Tractor_01,141.33,72.44,2.08,NORMAL
2026-09-02 05:30:00,Tractor_01,141.5,71.29,1.53,NORMAL
2026-09-02 05:40:00,Tractor_01,141.67,73.44,3.14,NORMAL
2026-09-02 05:50:00,Tractor_01,141.83,79.49,4.72,CHECK SOON
2026-09-02 06:00:00,Tractor_01,142.0,87.54,3.54,CHECK SOON
2026-09-02 06:10:00,Tractor_01,142.17,74.11,1.73,NORMAL
2026-09-02 06:20:00,Tractor_01,142.33,69.12,2.38,NORMAL
2026-09-02 06:30:00,Tractor_01,142.5,70.94,2.39,NORMAL
2026-09-02 06:40:00,Tractor_01,142.67,76.25,2.42,NORMAL
2026-09-02 06:50:00,Tractor_01,142.83,78.35,2.05,NORMAL
2026-09-02 07:00:00,Tractor_01,143.0,82.99,2.73,NORMAL
2026-09-02 07:10:00,Tractor_01,143.17,86.66,2.71,NORMAL
2026-09-02 07:20:00,Tractor_01,143.33,76.66,1.9,NORMAL
2026-09-02 07:30:00,Tractor_01,143.5,71.04,2.78,NORMAL
2026-09-02 07:40:00,Tractor_01,143.67,66.47,3.32,NORMAL
2026-09-02 07:50:00,Tractor_01,143.83,76.07,2.57,NORMAL
2026-09-02 08:00:00,Tractor_01,144.0,71.75,2.37,NORMAL
2026-09-02 08:10:00,Tractor_01,144.17,73.34,2.44,NORMAL
2026-09-02 08:20:00,Tractor_01,144.33,72.55,2.75,NORMAL
2026-09-02 08:30:00,Tractor_01,144.5,74.44,1.81,NORMAL
2026-09-02 08:40:00,Tractor_01,144.67,89.26,3.77,CHECK SOON
2026-09-02 08:50:00,Tractor_01,144.83,75.63,2.34,NORMAL
2026-09-02 09:00:00,Tractor_01,145.0,74.37,3.24,NORMAL
2026-09-02 09:10:00,Tractor_01,145.17,70.86,2.43,NORMAL
2026-09-02 09:20:00,Tractor_01,145.33,91.3,6.17,MAINTENANCE NEEDED
2026-09-02 09:30:00,Tractor_01,145.5,73.05,2.06,NORMAL
2026-09-02 09:40:00,Tractor_01,145.67,74.78,2.73,NORMAL
2026-09-02 09:50:00,Tractor_01,145.83,82.07,2.63,NORMAL
2026-09-02 10:00:00,Tractor_01,146.0,85.52,3.35,CHECK SOON
2026-09-02 10:10:00,Tractor_01,146.17,78.93,2.57,NORMAL
2026-09-02 10:20:00,Tractor_01,146.33,73.0,2.99,NORMAL
2026-09-02 10:30:00,Tractor_01,146.5,70.26,2.37,NORMAL
2026-09-02 10:40:00,Tractor_01,146.67,94.14,4.82,MAINTENANCE NEEDED
2026-09-02 10:50:00,Tractor_01,146.83,72.1,2.49,NORMAL
2026-09-02 11:00:00,Tractor_01,147.0,83.51,2.14,NORMAL
2026-09-02 11:10:00,Tractor_01,147.17,71.71,2.36,NORMAL
2026-09-02 11:20:00,Tractor_01,147.33,78.35,2.47,NORMAL
2026-09-02 11:30:00,Tractor_01,147.5,94.39,4.82,MAINTENANCE NEEDED
2026-09-02 11:40:00,Tractor_01,147.67,78.73,1.85,NORMAL
2026-09-02 11:50:00,Tractor_01,147.83,76.54,2.69,NORMAL
2026-09-02 12:00:00,Tractor_01,148.0,74.37,2.29,NORMAL
2026-09-02 12:10:00,Tractor_01,148.17,74.84,1.47,NORMAL
2026-09-02 12:20:00,Tractor_01,148.33,72.38,2.81,NORMAL
2026-09-02 12:30:00,Tractor_01,148.5,76.78,2.61,NORMAL
2026-09-02 12:40:00,Tractor_01,148.67,73.18,2.21,NORMAL
2026-09-02 12:50:00,Tractor_01,148.83,70.1,1.97,NORMAL
2026-09-02 13:00:00,Tractor_01,149.0,69.89,2.83,NORMAL
2026-09-02 13:10:00,Tractor_01,149.17,75.69,2.64,NORMAL
2026-09-02 13:20:00,Tractor_01,149.33,81.32,3.45,NORMAL
2026-09-02 13:30:00,Tractor_01,149.5,75.64,2.67,NORMAL
2026-09-02 13:40:00,Tractor_01,149.67,74.53,2.66,NORMAL
2026-09-02 13:50:00,Tractor_01,149.83,76.14,2.43,NORMAL
2026-09-02 14:00:00,Tractor_01,150.0,80.22,2.83,NORMAL
2026-09-02 14:10:00,Tractor_01,150.17,75.88,2.75,NORMAL
2026-09-02 14:20:00,Tractor_01,150.33,73.36,3.0,NORMAL
2026-09-02 14:30:00,Tractor_01,150.5,79.43,2.29,NORMAL
2026-09-02 14:40:00,Tractor_01,150.67,76.72,2.33,NORMAL
2026-09-02 14:50:00,Tractor_01,150.83,81.14,2.31,NORMAL
2026-09-02 15:00:00,Tractor_01,151.0,75.73,2.82,NORMAL
2026-09-02 15:10:00,Tractor_01,151.17,70.1,3.1,NORMAL
2026-09-02 15:20:00,Tractor_01,151.33,69.53,2.32,NORMAL
2026-09-02 15:30:00,Tractor_01,151.5,81.6,2.33,NORMAL
2026-09-02 15:40:00,Tractor_01,151.67,81.89,2.63,NORMAL
2026-09-02 15:50:00,Tractor_01,151.83,74.28,2.4,NORMAL
2026-09-02 16:00:00,Tractor_01,152.0,73.47,2.88,NORMAL
2026-09-02 16:10:00,Tractor_01,152.17,80.85,1.6,NORMAL
2026-09-02 16:20:00,Tractor_01,152.33,93.57,5.17,MAINTENANCE NEEDED
2026-09-02 16:30:00,Tractor_01,152.5,71.42,2.19,NORMAL
2026-09-02 16:40:00,Tractor_01,152.67,77.57,1.57,NORMAL
2026-09-02 16:50:00,Tractor_01,152.83,83.42,3.31,CHECK SOON
2026-09-02 17:00:00,Tractor_01,153.0,97.98,5.13,MAINTENANCE NEEDED
2026-09-02 17:10:00,Tractor_01,153.17,74.35,2.42,NORMAL
2026-09-02 17:20:00,Tractor_01,153.33,76.35,2.95,NORMAL
2026-09-02 17:30:00,Tractor_01,153.5,90.63,3.6,CHECK SOON
2026-09-02 17:40:00,Tractor_01,153.67,75.36,2.09,NORMAL
2026-09-02 17:50:00,Tractor_01,153.83,77.58,2.48,NORMAL
2026-09-02 18:00:00,Tractor_01,154.0,66.8,2.92,NORMAL
2026-09-02 18:10:00,Tractor_01,154.17,74.81,2.11,NORMAL
2026-09-02 18:20:00,Tractor_01,154.33,71.63,2.14,NORMAL
2026-09-02 18:30:00,Tractor_01,154.5,70.12,2.72,NORMAL
2026-09-02 18:40:00,Tractor_01,154.67,71.49,2.41,NORMAL
2026-09-02 18:50:00,Tractor_01,154.83,73.66,2.76,NORMAL
2026-09-02 19:00:00,Tractor_01,155.0,78.66,2.49,NORMAL
2026-09-02 19:10:00,Tractor_01,155.17,69.69,2.78,NORMAL
2026-09-02 19:20:00,Tractor_01,155.33,75.12,2.09,NORMAL
2026-09-02 19:30:00,Tractor_01,155.5,73.06,2.5,NORMAL
2026-09-02 19:40:00,Tractor_01,155.67,96.69,5.42,MAINTENANCE NEEDED
2026-09-02 19:50:00,Tractor_01,155.83,79.01,2.01,NORMAL
2026-09-02 20:00:00,Tractor_01,156.0,77.15,1.87,NORMAL
2026-09-02 20:10:00,Tractor_01,156.17,80.35,2.77,NORMAL
2026-09-02 20:20:00,Tractor_01,156.33,74.38,2.36,NORMAL
2026-09-02 20:30:00,Tractor_01,156.5,82.22,3.29,CHECK SOON
2026-09-02 20:40:00,Tractor_01,156.67,74.1,2.46,NORMAL
2026-09-02 20:50:00,Tractor_01,156.83,75.97,2.95,NORMAL
2026-09-02 21:00:00,Tractor_01,157.0,75.71,1.59,NORMAL
2026-09-02 21:10:00,Tractor_01,157.17,70.66,1.9,NORMAL
2026-09-02 21:20:00,Tractor_01,157.33,75.36,2.13,NORMAL
2026-09-02 21:30:00,Tractor_01,157.5,75.91,3.08,NORMAL
2026-09-02 21:40:00,Tractor_01,157.67,108.07,5.61,MAINTENANCE NEEDED
2026-09-02 21:50:00,Tractor_01,157.83,82.51,2.81,NORMAL
2026-09-02 22:00:00,Tractor_01,158.0,71.59,2.04,NORMAL
2026-09-02 22:10:00,Tractor_01,158.17,73.85,2.05,NORMAL
2026-09-02 22:20:00,Tractor_01,158.33,69.15,2.68,NORMAL
2026-09-02 22:30:00,Tractor_01,158.5,72.64,2.52,NORMAL
2026-09-02 22:40:00,Tractor_01,158.67,76.26,2.72,NORMAL
2026-09-02 22:50:00,Tractor_01,158.83,79.82,2.42,NORMAL
2026-09-02 23:00:00,Tractor_01,159.0,72.08,2.61,NORMAL
2026-09-02 23:10:00,Tractor_01,159.17,72.38,2.56,NORMAL
2026-09-02 23:20:00,Tractor_01,159.33,66.41,2.81,NORMAL
2026-09-02 23:30:00,Tractor_01,159.5,74.35,2.82,NORMAL
2026-09-02 23:40:00,Tractor_01,159.67,70.75,1.85,NORMAL
2026-09-02 23:50:00,Tractor_01,159.83,72.88,1.6,NORMAL
2026-09-03 00:00:00,Tractor_01,160.0,71.49,2.9,NORMAL
2026-09-03 00:10:00,Tractor_01,160.17,74.62,2.98,NORMAL
2026-09-03 00:20:00,Tractor_01,160.33,67.97,2.09,NORMAL
2026-09-03 00:30:00,Tractor_01,160.5,69.13,1.76,NORMAL
2026-09-03 00:40:00,Tractor_01,160.67,83.52,2.54,NORMAL
2026-09-03 00:50:00,Tractor_01,160.83,69.85,2.87,NORMAL
2026-09-03 01:00:00,Tractor_01,161.0,70.61,3.22,NORMAL
2026-09-03 01:10:00,Tractor_01,161.17,82.35,2.71,NORMAL
2026-09-03 01:20:00,Tractor_01,161.33,86.62,2.35,NORMAL
2026-09-03 01:30:00,Tractor_01,161.5,70.31,2.14,NORMAL
2026-09-03 01:40:00,Tractor_01,161.67,73.53,2.5,NORMAL
2026-09-03 01:50:00,Tractor_01,161.83,76.37,2.38,NORMAL
2026-09-03 02:00:00,Tractor_01,162.0,81.91,2.09,NORMAL
2026-09-03 02:10:00,Tractor_01,162.17,71.05,3.32,NORMAL
2026-09-03 02:20:00,Tractor_01,162.33,74.02,3.21,NORMAL
2026-09-03 02:30:00,Tractor_01,162.5,78.11,2.95,NORMAL
2026-09-03 02:40:00,Tractor_01,162.67,86.74,3.33,CHECK SOON
2026-09-03 02:50:00,Tractor_01,162.83,73.5,2.84,NORMAL
2026-09-03 03:00:00,Tractor_01,163.0,74.46,2.76,NORMAL
2026-09-03 03:10:00,Tractor_01,163.17,79.5,3.88,CHECK SOON
2026-09-03 03:20:00,Tractor_01,163.33,74.05,3.0,NORMAL
2026-09-03 03:30:00,Tractor_01,163.5,83.93,3.95,CHECK SOON
2026-09-03 03:40:00,Tractor_01,163.67,75.93,2.8,NORMAL
2026-09-03 03:50:00,Tractor_01,163.83,72.78,2.75,NORMAL
2026-09-03 04:00:00,Tractor_01,164.0,76.89,2.64,NORMAL
2026-09-03 04:10:00,Tractor_01,164.17,79.05,1.79,NORMAL
2026-09-03 04:20:00,Tractor_01,164.33,75.62,2.53,NORMAL
2026-09-03 04:30:00,Tractor_01,164.5,76.41,2.28,NORMAL
2026-09-03 04:40:00,Tractor_01,164.67,75.21,1.99,NORMAL
2026-09-03 04:50:00,Tractor_01,164.83,85.0,4.37,CHECK SOON
2026-09-03 05:00:00,Tractor_01,165.0,82.11,4.39,CHECK SOON
2026-09-03 05:10:00,Tractor_01,165.17,76.27,3.04,NORMAL
2026-09-03 05:20:00,Tractor_01,165.33,74.61,2.6,NORMAL
2026-09-03 05:30:00,Tractor_01,165.5,83.37,3.04,NORMAL
2026-09-03 05:40:00,Tractor_01,165.67,81.29,2.5,NORMAL
2026-09-03 05:50:00,Tractor_01,165.83,76.54,2.58,NORMAL
2026-09-03 06:00:00,Tractor_01,166.0,71.95,2.06,NORMAL
2026-09-03 06:10:00,Tractor_01,166.17,70.55,2.66,NORMAL
2026-09-03 06:20:00,Tractor_01,166.33,79.76,2.52,NORMAL
2026-09-03 06:30:00,Tractor_01,166.5,76.05,1.98,NORMAL
2026-09-03 06:40:00,Tractor_01,166.67,86.92,3.68,CHECK SOON
2026-09-03 06:50:00,Tractor_01,166.83,68.02,2.47,NORMAL
2026-09-03 07:00:00,Tractor_01,167.0,78.71,3.22,NORMAL
2026-09-03 07:10:00,Tractor_01,167.17,76.82,2.86,NORMAL
2026-09-03 07:20:00,Tractor_01,167.33,70.56,2.5,NORMAL
2026-09-03 07:30:00,Tractor_01,167.5,73.11,2.6,NORMAL
2026-09-03 07:40:00,Tractor_01,167.67,76.05,2.52,NORMAL
2026-09-03 07:50:00,Tractor_01,167.83,75.21,2.42,NORMAL
2026-09-03 08:00:00,Tractor_01,168.0,73.83,2.07,NORMAL
2026-09-03 08:10:00,Tractor_01,168.17,74.59,2.44,NORMAL
2026-09-03 08:20:00,Tractor_01,168.33,73.99,2.2,NORMAL
2026-09-03 08:30:00,Tractor_01,168.5,75.61,2.0,NORMAL
2026-09-03 08:40:00,Tractor_01,168.67,80.89,2.7,NORMAL
2026-09-03 08:50:00,Tractor_01,168.83,74.73,3.86,CHECK SOON
2026-09-03 09:00:00,Tractor_01,169.0,74.05,1.79,NORMAL
2026-09-03 09:10:00,Tractor_01,169.17,75.71,2.45,NORMAL
2026-09-03 09:20:00,Tractor_01,169.33,76.18,2.9,NORMAL
2026-09-03 09:30:00,Tractor_01,169.5,73.51,2.92,NORMAL
2026-09-03 09:40:00,Tractor_01,169.67,67.97,2.91,NORMAL
2026-09-03 09:50:00,Tractor_01,169.83,76.31,2.52,NORMAL
2026-09-03 10:00:00,Tractor_01,170.0,81.91,2.16,NORMAL
2026-09-03 10:10:00,Tractor_01,170.17,68.86,2.07,NORMAL
2026-09-03 10:20:00,Tractor_01,170.33,78.46,2.64,NORMAL
2026-09-03 10:30:00,Tractor_01,170.5,83.69,3.85,CHECK SOON
2026-09-03 10:40:00,Tractor_01,170.67,74.75,3.01,NORMAL
2026-09-03 10:50:00,Tractor_01,170.83,80.79,4.14,CHECK SOON
2026-09-03 11:00:00,Tractor_01,171.0,73.66,2.45,NORMAL
2026-09-03 11:10:00,Tractor_01,171.17,80.2,2.0,NORMAL
2026-09-03 11:20:00,Tractor_01,171.33,77.33,2.37,NORMAL
2026-09-03 11:30:00,Tractor_01,171.5,81.93,2.59,NORMAL
2026-09-03 11:40:00,Tractor_01,171.67,79.71,2.42,NORMAL
2026-09-03 11:50:00,Tractor_01,171.83,99.76,5.27,MAINTENANCE NEEDED
2026-09-03 12:00:00,Tractor_01,172.0,81.98,2.6,NORMAL
2026-09-03 12:10:00,Tractor_01,172.17,76.76,2.3,NORMAL
2026-09-03 12:20:00,Tractor_01,172.33,78.31,2.25,NORMAL
2026-09-03 12:30:00,Tractor_01,172.5,73.81,2.62,NORMAL
2026-09-03 12:40:00,Tractor_01,172.67,85.27,3.54,CHECK SOON
2026-09-03 12:50:00,Tractor_01,172.83,72.21,2.6,NORMAL
2026-09-03 13:00:00,Tractor_01,173.0,78.96,2.61,NORMAL
2026-09-03 13:10:00,Tractor_01,173.17,70.29,2.04,NORMAL
2026-09-03 13:20:00,Tractor_01,173.33,78.13,2.31,NORMAL
2026-09-03 13:30:00,Tractor_01,173.5,74.24,3.08,NORMAL
2026-09-03 13:40:00,Tractor_01,173.67,79.68,2.04,NORMAL
2026-09-03 13:50:00,Tractor_01,173.83,78.0,1.65,NORMAL
2026-09-03 14:00:00,Tractor_01,174.0,82.28,1.76,NORMAL
2026-09-03 14:10:00,Tractor_01,174.17,100.92,5.51,MAINTENANCE NEEDED
2026-09-03 14:20:00,Tractor_01,174.33,68.71,2.51,NORMAL
2026-09-03 14:30:00,Tractor_01,174.5,74.73,2.45,NORMAL
2026-09-03 14:40:00,Tractor_01,174.67,70.31,2.99,NORMAL
2026-09-03 14:50:00,Tractor_01,174.83,95.93,4.43,MAINTENANCE NEEDED
2026-09-03 15:00:00,Tractor_01,175.0,104.04,5.66,MAINTENANCE NEEDED
2026-09-03 15:10:00,Tractor_01,175.17,77.55,3.12,NORMAL
2026-09-03 15:20:00,Tractor_01,175.33,72.2,2.05,NORMAL
2026-09-03 15:30:00,Tractor_01,175.5,70.95,2.35,NORMAL
2026-09-03 15:40:00,Tractor_01,175.67,75.13,2.2,NORMAL
2026-09-03 15:50:00,Tractor_01,175.83,70.13,2.14,NORMAL
2026-09-03 16:00:00,Tractor_01,176.0,82.32,3.57,CHECK SOON
2026-09-03 16:10:00,Tractor_01,176.17,99.25,6.07,MAINTENANCE NEEDED
2026-09-03 16:20:00,Tractor_01,176.33,79.62,3.23,NORMAL
2026-09-03 16:30:00,Tractor_01,176.5,77.44,2.37,NORMAL
2026-09-03 16:40:00,Tractor_01,176.67,65.83,3.26,NORMAL
2026-09-03 16:50:00,Tractor_01,176.83,86.22,3.71,CHECK SOON
2026-09-03 17:00:00,Tractor_01,177.0,75.29,3.2,NORMAL
2026-09-03 17:10:00,Tractor_01,177.17,76.66,2.46,NORMAL
2026-09-03 17:20:00,Tractor_01,177.33,81.46,2.55,NORMAL
2026-09-03 17:30:00,Tractor_01,177.5,66.75,2.65,NORMAL
2026-09-03 17:40:00,Tractor_01,177.67,72.64,3.77,NORMAL
2026-09-03 17:50:00,Tractor_01,177.83,77.36,2.84,NORMAL
2026-09-03 18:00:00,Tractor_01,178.0,68.67,2.22,NORMAL
2026-09-03 18:10:00,Tractor_01,178.17,80.9,2.89,NORMAL
2026-09-03 18:20:00,Tractor_01,178.33,76.47,2.36,NORMAL
2026-09-03 18:30:00,Tractor_01,178.5,78.39,2.3,NORMAL
2026-09-03 18:40:00,Tractor_01,178.67,82.72,4.06,CHECK SOON
2026-09-03 18:50:00,Tractor_01,178.83,88.26,3.71,CHECK SOON
2026-09-03 19:00:00,Tractor_01,179.0,79.27,2.61,NORMAL
2026-09-03 19:10:00,Tractor_01,179.17,75.93,2.51,NORMAL
2026-09-03 19:20:00,Tractor_01,179.33,75.94,2.63,NORMAL
2026-09-03 19:30:00,Tractor_01,179.5,76.08,2.67,NORMAL
2026-09-03 19:40:00,Tractor_01,179.67,71.55,1.73,NORMAL
2026-09-03 19:50:00,Tractor_01,179.83,74.41,2.77,NORMAL
2026-09-03 20:00:00,Tractor_01,180.0,74.39,2.11,NORMAL
